title_en,title_fr,address,phone_number,email,description,sender_name,sender_email,alert_email,alert_sms,alert_default,sms_time,shared,locale
AarhusKarlshamn USA Inc,AarhusKarlshamn USA Inc,,973 741-5048,rouba.chalet@aak.com,,,,,,,,,
Adams,Adams,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Adams,Adams,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
ADM,ADM,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Agri Exim,Agri Exim,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
AvoPacific,AvoPacific,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Acesur,Acesur,,646-799-6623,baris@bztradeusa.com,,,,,,,,,
Bunge Canada,Bunge Canada,,450 462-6119,Jean.Lamoureux@bunge.com,,,,,,,,,
Bunge Canada,Bunge Canada,,450 462-6119,Jean.Lamoureux@bunge.com,,,,,,,,,
Borges,Borges,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Blue Diamond,Blue Diamond,,847-708-4411,sam@naturalscooperative.com,,,,,,,,,
Cargill,Cargill,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Cargill,Cargill,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Columbus,Columbus,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Sena Mills Refineries,Sena Mills Refineries,,908-998-1818,baris@cfgoil.com,,,,,,,,,
Aceites Naturales del Sur SL,Aceites Naturales del Sur SL,,908-998-1818,baris@cfgoil.com,,,,,,,,,
De Nigris,De Nigris,,39 081 8526000,ciro@denigris.it,,,,,,,,,
Franklin Baker,Franklin Baker,,412-519-4176,mhersch@exclusivefoodsintl.com,,,,,,,,,
Garcia De La Cruz,Garcia De La Cruz,,34 925 460 496,calidad@garciadelacruz.com,,,,,,,,,
Garcia De La Cruz,Garcia De La Cruz,,34 925 460 496,calidad@garciadelacruz.com,,,,,,,,,
Garcia De La Cruz,Garcia De La Cruz,,34 925 460 496,calidad@garciadelacruz.com,,,,,,,,,
Garcia De La Cruz,Garcia De La Cruz,,34 925 460 496,calidad@garciadelacruz.com,,,,,,,,,
Ingredion,Ingredion,,1 905 281-7966,francine.Iannaci@Ingredion.com,,,,,,,,,
Lahmar Olive Oil,Lahmar Olive Oil,,514-292-9420,r.lahmar@lahmaroliveoil.com,,,,,,,,,
PT Musim Mas,PT Musim Mas,,62-61-6871123,aleo@musimmas.com,,,,,,,,,
PT Musim Mas,PT Musim Mas,,62-61-6871123,aleo@musimmas.com,,,,,,,,,
Salvadori,Salvadori,,39 055 721702,gianluca@popolani.com,,,,,,,,,
Sesajal,Sesajal,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Sesajal,Sesajal,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Spack Trading BV,Spack Trading BV,,1 519 979-3800,ipizzo@nthnalliance.com,,,,,,,,,
Shade Foods,Shade Foods,,204-727-3529,amaas@shapefoods.com,,,,,,,,,
Sunrise Foods,Sunrise Foods,,916 206 5803,Chris Hanks <Chanks@sunrisefoods.ca>,,,,,,,,,
Sunrise Foods,Sunrise Foods,,916 206 5803,Chris Hanks <Chanks@sunrisefoods.ca>,,,,,,,,,
Viterra,Viterra,,1 819 862-2416,leslie.bjolverud@viterra.com,,,,,,,,,
Viterra,Viterra,,1 819 862-2416,leslie.bjolverud@viterra.com,,,,,,,,,
,,,,,,,,,,,,,
AKITA,AKITA,,,stephanie@akitafood.com ,,,,,,,,,
BSA,BSA,,514 852-2719,pturcotte@bsa.ca,,,,,,,,,
Caldic,Caldic,,514 684-2120,Lwong@caldic.ca,,,,,,,,,
Novotaste,Novotaste,,450 444-2850,pcrepin@novotaste.com,,,,,,,,,
,,,,,,,,,,,,,
AMPAK,AMPAK,,,,,,,,,,,,
Altium,Altium,,514-458-1700,Asgar.Bayat@altiumpkg.com,,,,,,,,,
Avantis,Avantis,,514-700-7220 ,ibadawi@avantispackaging.com>=,,,,,,,,,
Summun,Summun,,514-352-9992,pdavidson@summumplastiques.com,,,,,,,,,
Siligan,Siligan,,514-631-1140,cathy.damico@silganplastics.com,,,,,,,,,
Lindal Group,Lindal Group,,812-657-7142,bradley.parmer@lindalgroup.com,,,,,,,,,
BERRY PLASTIC ,BERRY PLASTIC ,,,AshleyGarrett@berryglobal.com,,,,,,,,,
Bericap,Bericap,,,Dewan.Arefeen@bericap.com,,,,,,,,,
DSC,DSC,,224-629-1028,jchilders@dscontainers.com,,,,,,,,,
BSR Polybags,BSR Polybags,,514-735-5777  ext.102,info@bsrpolybags.com,,,,,,,,,
Bruni (Berlin),Bruni (Berlin),,514.422.3213   ,Irina.Florea@berlinpackaging.com,,,,,,,,,
Kruger,Kruger,,,,,,,,,,,,
Gruppo Vetro,Gruppo Vetro,,823969471,info@gruppovetrosomma.com,,,,,,,,,
Qualipak (LAVO),Qualipak (LAVO),,514-916-2879,jfalain@qualipak.ca,,,,,,,,,
BWAY (mauserpackaging.com),BWAY (mauserpackaging.com),,514-591-9246,nick.insogna@bwaycorp.com,,,,,,,,,
Roda,Roda,,514 374.7223,kbarbeau@rodapack.com,,,,,,,,,
SimSek,SimSek,,90 232 3767943,mine.ersen@simsekambalaj.com.tr,,,,,,,,,
Salbro,Salbro,,514-835-3964,pedro@salbrobottle.com,,,,,,,,,
Jump & Pour,Jump & Pour,,972 4 6252777,adar@jumpnpour.com,,,,,,,,,
Pano Caps,Pano Caps,,519-897-8992,aladeroute@panocap.on.ca,,,,,,,,,
Precision,Precision,,,Frank.Pickard@precisionglobal.com,,,,,,,,,
Ingenious Packaging,Ingenious Packaging,,,angie.dipasquale@resourcelabel.com ,,,,,,,,,
Mitchel-Lincoln,Mitchel-Lincoln,,,,,,,,,,,,
,,,,,,,,,,,,,
