"101","YUPIK 1KG - BLANCHED PEANUTS RS","YUPIK 1KG - ARACHIDES BLANCHIES RS"
"102","YUPIK 1KG - BLANCHED PEANUTS RNS","YUPIK 1KG - ARACHIDES BLANCHIES RNS"
"103","YUPIK 1KG - SUGAR PEANUTS","YUPIK 1KG - ARACHIDES SUCRÉES"
"105","YUPIK 1KG - REGULAR RAW BLANCHED PEANUTS","YUPIK 1KG - ARACHIDES CRÛES RÉGULIÈRES"
"106","YUPIK 1KG - BBQ PEANUTS","YUPIK 1KG - ARACHIDES BBQ"
"107","YUPIK 1KG - SPANISH PEANUTS RS","YUPIK 1KG - ARACHIDES ESPAGNOLES RS"
"110","YUPIK 1KG - DRY ROASTED DICED PEANUTS","YUPIK 1KG - ARACHIDES RÔTIES EN DÉS"
"114","YUPIK 1KG - WHOLE CASHEWS RS","YUPIK 1KG - CAJOUS ENTIERS RS"
"115","YUPIK 1KG - WHOLE CASHEWS RNS","YUPIK 1KG - CAJOUS ENTIERS RNS"
"116","YUPIK 1KG - RAW CASHEWS W-450","YUPIK 1KG - CAJOUS CRUS W-450"
"120","YUPIK 1KG - ORIENTAL BLACK PEPPER CASHEWS","YUPIK 1KG - CAJOUS ORIENTALES AU POIVRE"
"122","YUPIK 1KG - PISTACHIOS RS","YUPIK 1KG - PISTACHES RS"
"123","YUPIK 1KG - RAW PISTACHIO IN SHELL","YUPIK 1KG - PISTACHES CRUES EN ÉCALE"
"124","YUPIK 1KG - RAW SHELLED PISTACHIO KERNELS","YUPIK 1KG - PISTACHES NATURELLES (KERNEL)"
"127","YUPIK 1KG - PECAN HALVES (JUMBO)","YUPIK 1KG - PACANES EN DEMIES (JUMBO)"
"130","YUPIK 1KG - BLANCHED WHOLE ALMONDS","YUPIK 1KG - AMANDES MONDÉES (BLANCHIES)"
"131","YUPIK 1KG - BLANCHED SLICED ALMONDS","YUPIK 1KG - AMANDE TRANCHÉE BLANCHIE"
"132","YUPIK 1KG - SLIVERED ALMONDS","YUPIK 1KG - AMANDES EN BÂTONNETS"
"133","YUPIK 1KG - BLANCHED POWDER ALMONDS","YUPIK 1KG - AMANDES EN POUDRE BLANCHIES"
"134","YUPIK 1KG - NATURAL SLICED ALMONDS","YUPIK 1KG - AMANDES NATURELLES TRANCHÉES"
"135","YUPIK 1KG - NATURAL ALMONDS POWDER","YUPIK 1KG - AMANDES EN POUDRE NATURELLES"
"136","YUPIK 1KG - DRY ROASTED SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES À SEC SALÉES"
"137","YUPIK 1KG - SOYA ALMONDS","YUPIK 1KG - AMANDES AU SOYA"
"138","YUPIK 1KG - ROASTED SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES SALÉES"
"139","YUPIK 1KG - ROASTED NON SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES NON SALÉES"
"140","YUPIK 1KG - SMOKED ALMONDS","YUPIK 1KG - AMANDES FUMÉES"
"141","YUPIK 1KG - ORIENTAL BBQ ALMONDS","YUPIK 1KG - AMANDES ORIENTALES BBQ"
"142","YUPIK 1KG - ORIENTAL LEMON & SALT ALMONDS","YUPIK 1KG - AMANDES ORIENTALES CITRON & SEL"
"143","YUPIK 1KG - ROASTED SEA SALT MARCONA ALMONDS","YUPIK 1KG - AMANDES RÔTIES MARCONA A/SEL DE MER"
"149","YUPIK 1KG - RAW ALMONDS","YUPIK 1KG - AMANDES CRUES"
"150","YUPIK 1KG - RAW SHELLED FILBERTS","YUPIK 1KG - AVELINES ÉCALÉES CRUES"
"151","YUPIK 1KG - RAW BLANCHED FILBERTS","YUPIK 1KG - AVELINES MONDÉES (BLANCHIES)"
"155","YUPIK 1KG - SHELLED BRAZIL NUTS (WHOLE)","YUPIK 1KG - NOIX DU BRÉSIL (ENTIÈRES)"
"160","YUPIK 1KG - MACADAMIA NUTS (JUMBO)","YUPIK 1KG - NOIX DE MACADAM (JUMBO)"
"165","YUPIK 1KG - PINENUTS AA","YUPIK 1KG - NOIX DE PIN AA"
"166","YUPIK 1KG - LONG PINENUTS","YUPIK 1KG - NOIX DE PIN LONGUE"
"169","YUPIK 1KG - WALNUT HALVES","YUPIK 1KG - GRENOBLES EN DEMIES"
"170","YUPIK 1KG - WALNUT 1/2 & PIECES","YUPIK 1KG - GRENOBLES  1/2 & MORCEAUX"
"171","YUPIK 1KG - WALNUT MEDIUM PIECES","YUPIK 1KG - GRENOBLES EN MRCX. MEDIUM"
"201","YUPIK 1KG - THOMPSON RAISINS","YUPIK 1KG - RAISINS THOMPSON"
"202","YUPIK 1KG - SULTANA RAISINS","YUPIK 1KG - RAISINS SULTANA"
"203","YUPIK 1KG - TURKISH APRICOTS","YUPIK 1KG - ABRICOTS DE TURQUIE"
"204","YUPIK 1KG - DRIED APPLE RINGS","YUPIK 1KG - POMMES DÉSHYDRATÉES RONDELLES"
"205","YUPIK 1KG - PITTED PRUNES","YUPIK 1KG - PRUNEAUX DÉNOYAUTÉS"
"207","YUPIK 1KG - PITTED DATTES","YUPIK 1KG - DATTES DÉNOYAUTÉES"
"255","YUPIK 1KG - SHREDDED SWEETENED COCONUT","YUPIK 1KG - NOIX DE COCO RAPÉE SUCRÉE"
"256","YUPIK 1KG - DESICCATED FINE COCONUT","YUPIK 1KG - NOIX DE COCO SÉCHÉE FIN"
