"#","Cod","Title EN","Title FR"
"1","10102","BLANCHED PEANUTS RNS","ARACHIDES BLANCHIES RNS"
"2","101","YUPIK 1KG - BLANCHED PEANUTS RS","YUPIK 1KG - ARACHIDES BLANCHIES RS"
"3","102","YUPIK 1KG - BLANCHED PEANUTS RNS","YUPIK 1KG - ARACHIDES BLANCHIES RNS"
"4","103","YUPIK 1KG - SUGAR PEANUTS","YUPIK 1KG - ARACHIDES SUCRÉES"
"5","105","YUPIK 1KG - REGULAR RAW BLANCHED PEANUTS","YUPIK 1KG - ARACHIDES CRÛES RÉGULIÈRES"
"6","106","YUPIK 1KG - BBQ PEANUTS","YUPIK 1KG - ARACHIDES BBQ"
"7","107","YUPIK 1KG - SPANISH PEANUTS RS","YUPIK 1KG - ARACHIDES ESPAGNOLES RS"
"8","110","YUPIK 1KG - DRY ROASTED DICED PEANUTS","YUPIK 1KG - ARACHIDES RÔTIES EN DÉS"
"9","114","YUPIK 1KG - WHOLE CASHEWS RS","YUPIK 1KG - CAJOUS ENTIERS RS"
"10","115","YUPIK 1KG - WHOLE CASHEWS RNS","YUPIK 1KG - CAJOUS ENTIERS RNS"
"11","116","YUPIK 1KG - RAW CASHEWS W-450","YUPIK 1KG - CAJOUS CRUS W-450"
"12","120","YUPIK 1KG - ORIENTAL BLACK PEPPER CASHEWS","YUPIK 1KG - CAJOUS ORIENTALES AU POIVRE"
"13","122","YUPIK 1KG - PISTACHIOS RS","YUPIK 1KG - PISTACHES RS"
"14","123","YUPIK 1KG - RAW PISTACHIO IN SHELL","YUPIK 1KG - PISTACHES CRUES EN ÉCALE"
"15","124","YUPIK 1KG - RAW SHELLED PISTACHIO KERNELS","YUPIK 1KG - PISTACHES NATURELLES (KERNEL)"
"16","127","YUPIK 1KG - PECAN HALVES (JUMBO)","YUPIK 1KG - PACANES EN DEMIES (JUMBO)"
"17","130","YUPIK 1KG - BLANCHED WHOLE ALMONDS","YUPIK 1KG - AMANDES MONDÉES (BLANCHIES)"
"18","131","YUPIK 1KG - BLANCHED SLICED ALMONDS","YUPIK 1KG - AMANDE TRANCHÉE BLANCHIE"
"19","132","YUPIK 1KG - SLIVERED ALMONDS","YUPIK 1KG - AMANDES EN BÂTONNETS"
"20","133","YUPIK 1KG - BLANCHED POWDER ALMONDS","YUPIK 1KG - AMANDES EN POUDRE BLANCHIES"
"21","134","YUPIK 1KG - NATURAL SLICED ALMONDS","YUPIK 1KG - AMANDES NATURELLES TRANCHÉES"
"22","135","YUPIK 1KG - NATURAL ALMONDS POWDER","YUPIK 1KG - AMANDES EN POUDRE NATURELLES"
"23","136","YUPIK 1KG - DRY ROASTED SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES À SEC SALÉES"
"24","137","YUPIK 1KG - SOYA ALMONDS","YUPIK 1KG - AMANDES AU SOYA"
"25","138","YUPIK 1KG - ROASTED SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES SALÉES"
"26","139","YUPIK 1KG - ROASTED NON SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES NON SALÉES"
"27","140","YUPIK 1KG - SMOKED ALMONDS","YUPIK 1KG - AMANDES FUMÉES"
"28","141","YUPIK 1KG - ORIENTAL BBQ ALMONDS","YUPIK 1KG - AMANDES ORIENTALES BBQ"
"29","142","YUPIK 1KG - ORIENTAL LEMON & SALT ALMONDS","YUPIK 1KG - AMANDES ORIENTALES CITRON & SEL"
"30","143","YUPIK 1KG - ROASTED SEA SALT MARCONA ALMONDS","YUPIK 1KG - AMANDES RÔTIES MARCONA A/SEL DE MER"
"31","149","YUPIK 1KG - RAW ALMONDS","YUPIK 1KG - AMANDES CRUES"
"32","150","YUPIK 1KG - RAW SHELLED FILBERTS","YUPIK 1KG - AVELINES ÉCALÉES CRUES"
"33","151","YUPIK 1KG - RAW BLANCHED FILBERTS","YUPIK 1KG - AVELINES MONDÉES (BLANCHIES)"
"34","155","YUPIK 1KG - SHELLED BRAZIL NUTS (WHOLE)","YUPIK 1KG - NOIX DU BRÉSIL (ENTIÈRES)"
"35","160","YUPIK 1KG - MACADAMIA NUTS (JUMBO)","YUPIK 1KG - NOIX DE MACADAM (JUMBO)"
"36","165","YUPIK 1KG - PINENUTS AA","YUPIK 1KG - NOIX DE PIN AA"
"37","166","YUPIK 1KG - LONG PINENUTS","YUPIK 1KG - NOIX DE PIN LONGUE"
"38","169","YUPIK 1KG - WALNUT HALVES","YUPIK 1KG - GRENOBLES EN DEMIES"
"39","170","YUPIK 1KG - WALNUT 1/2 & PIECES","YUPIK 1KG - GRENOBLES  1/2 & MORCEAUX"
"40","171","YUPIK 1KG - WALNUT MEDIUM PIECES","YUPIK 1KG - GRENOBLES EN MRCX. MEDIUM"
"41","201","YUPIK 1KG - THOMPSON RAISINS","YUPIK 1KG - RAISINS THOMPSON"
"42","202","YUPIK 1KG - SULTANA RAISINS","YUPIK 1KG - RAISINS SULTANA"
"43","203","YUPIK 1KG - TURKISH APRICOTS","YUPIK 1KG - ABRICOTS DE TURQUIE"
"44","204","YUPIK 1KG - DRIED APPLE RINGS","YUPIK 1KG - POMMES DÉSHYDRATÉES RONDELLES"
"45","205","YUPIK 1KG - PITTED PRUNES","YUPIK 1KG - PRUNEAUX DÉNOYAUTÉS"
"46","207","YUPIK 1KG - PITTED DATTES","YUPIK 1KG - DATTES DÉNOYAUTÉES"
"47","255","YUPIK 1KG - SHREDDED SWEETENED COCONUT","YUPIK 1KG - NOIX DE COCO RAPÉE SUCRÉE"
"48","256","YUPIK 1KG - DESICCATED FINE COCONUT","YUPIK 1KG - NOIX DE COCO SÉCHÉE FIN"
"49","265","YUPIK 1KG - PINEAPPLE RINGS","YUPIK 1KG - ANANAS EN RONDELLES"
"50","266","YUPIK 1KG - PINEAPPLE TIDBITS","YUPIK 1KG - ANANAS EN MRC. (TIDBITS)"
"51","267","YUPIK 1KG - PINEAPPLE DICED 8-10 MM","YUPIK 1KG - ANANAS EN DÉS 8-10 MM"
"52","268","YUPIK 1KG - PAPAYA SPEARS","YUPIK 1KG - PAPAYE EN ÉPÉES"
