cod,title_en,title_fr
BOT10LU301SSS01,BOTTLE 10L US HDPE,BOTTLE 10L US HDPE
BOT10LU304SSS01,BOTTLE 10L US HDPE YELLOW,BOTTLE 10L US HDPE YELLOW
BOT118MCAOSSS01,BOTTLE 1.18L PET,BOTTLE 1.18L PET
BOT142L303SSS01,BOTTLE 1.42L RECT,BOTTLE 1.42L RECT
BOT150L303SSS01,1.5L SQUARE PET - GREEN,1.5L SQUARE PET - GREEN
BOT15TC305SSS01,BOTTLE 150ML TIN CAN,BOTTLE 150ML TIN CAN
BOT16JB301SSS01,BOTTLE 16L JUG IN BOX BROWN,BOTTLE 16L JUG IN BOX BROWN
BOT16JPCANLPL01,BOTTLE 16L JUG IN BOX PRINTED LA PERLA CANOLA,BOTTLE 16L JUG IN BOX PRINTED LA PERLA CANOLA
BOT16JPCANSUN01,BOTTLE 16L JUG IN BOX PRINTED SUNSPUN CANOLA,BOTTLE 16L JUG IN BOX PRINTED SUNSPUN CANOLA
BOT16JPLIQLPL01,BOTTLE 16L JUG IN BOX PRINTED for LaPerla LIQUIDE SHORTENING,BOTTLE 16L JUG IN BOX PRINTED for LaPerla LIQUIDE SHORTENING
BOT16JPSUNLPL01,BOTTLE 16L JUG IN BOX PRINTED for LaPerla Sunflower,BOTTLE 16L JUG IN BOX PRINTED for LaPerla Sunflower
BOT16JPSUNSUN01,BOTTLE 16L JUG IN BOX  SUNSPUN SUNFLOWER,BOTTLE 16L JUG IN BOX  SUNSPUN SUNFLOWER
BOT16JPVEGLPL01,BOTTLE 16L JUG IN BOX PRINTED LA PERLA VEGETABLE,BOTTLE 16L JUG IN BOX PRINTED LA PERLA VEGETABLE
BOT16JPVEGSUN01,BOTTLE 16L JUG IN BOX PRINTED SUNSPUN VEGETABLE,BOTTLE 16L JUG IN BOX PRINTED SUNSPUN VEGETABLE
BOT16JW301SSS01,BOTTLE 16L JUG IN BOX WHITE,BOTTLE 16L JUG IN BOX WHITE
BOT16LJ301SSS01,BOTTLE 1.6L JAR PET,BOTTLE 1.6L JAR PET
BOT16PPCANCED01,BOTTLE 16L PAIL PRINTED for Cedar Canola,BOTTLE 16L PAIL PRINTED for Cedar Canola
BOT16PPCANLPL01,BOTTLE 16L PAIL PRINTED for LaPerla Canola,BOTTLE 16L PAIL PRINTED for LaPerla Canola
BOT16PPCANSUN01,BOTTLE 16L PAIL PRINTED for Sunspun Canola,BOTTLE 16L PAIL PRINTED for Sunspun Canola
