"#","Cod","Title EN","Title FR"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">1</td>","31001","ORGANIC REGULAR ROLLED OATS","FLOCONS AVOINE RÉGULIER (BIO)"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">2</td>","10101","BLANCHED PEANUTS RS","ARACHIDES BLANCHIES RS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">3</td>","10102","BLANCHED PEANUTS RNS","ARACHIDES BLANCHIES RNS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">4</td>","101","YUPIK 1KG - BLANCHED PEANUTS RS","YUPIK 1KG - ARACHIDES BLANCHIES RS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">5</td>","102","YUPIK 1KG - BLANCHED PEANUTS RNS","YUPIK 1KG - ARACHIDES BLANCHIES RNS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">6</td>","103","YUPIK 1KG - SUGAR PEANUTS","YUPIK 1KG - ARACHIDES SUCRÉES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">7</td>","105","YUPIK 1KG - REGULAR RAW BLANCHED PEANUTS","YUPIK 1KG - ARACHIDES CRÛES RÉGULIÈRES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">8</td>","106","YUPIK 1KG - BBQ PEANUTS","YUPIK 1KG - ARACHIDES BBQ"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">9</td>","107","YUPIK 1KG - SPANISH PEANUTS RS","YUPIK 1KG - ARACHIDES ESPAGNOLES RS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">10</td>","110","YUPIK 1KG - DRY ROASTED DICED PEANUTS","YUPIK 1KG - ARACHIDES RÔTIES EN DÉS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">11</td>","114","YUPIK 1KG - WHOLE CASHEWS RS","YUPIK 1KG - CAJOUS ENTIERS RS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">12</td>","115","YUPIK 1KG - WHOLE CASHEWS RNS","YUPIK 1KG - CAJOUS ENTIERS RNS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">13</td>","116","YUPIK 1KG - RAW CASHEWS W-450","YUPIK 1KG - CAJOUS CRUS W-450"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">14</td>","120","YUPIK 1KG - ORIENTAL BLACK PEPPER CASHEWS","YUPIK 1KG - CAJOUS ORIENTALES AU POIVRE"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">15</td>","122","YUPIK 1KG - PISTACHIOS RS","YUPIK 1KG - PISTACHES RS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">16</td>","123","YUPIK 1KG - RAW PISTACHIO IN SHELL","YUPIK 1KG - PISTACHES CRUES EN ÉCALE"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">17</td>","124","YUPIK 1KG - RAW SHELLED PISTACHIO KERNELS","YUPIK 1KG - PISTACHES NATURELLES (KERNEL)"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">18</td>","127","YUPIK 1KG - PECAN HALVES (JUMBO)","YUPIK 1KG - PACANES EN DEMIES (JUMBO)"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">19</td>","130","YUPIK 1KG - BLANCHED WHOLE ALMONDS","YUPIK 1KG - AMANDES MONDÉES (BLANCHIES)"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">20</td>","131","YUPIK 1KG - BLANCHED SLICED ALMONDS","YUPIK 1KG - AMANDE TRANCHÉE BLANCHIE"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">21</td>","132","YUPIK 1KG - SLIVERED ALMONDS","YUPIK 1KG - AMANDES EN BÂTONNETS"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">22</td>","133","YUPIK 1KG - BLANCHED POWDER ALMONDS","YUPIK 1KG - AMANDES EN POUDRE BLANCHIES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">23</td>","134","YUPIK 1KG - NATURAL SLICED ALMONDS","YUPIK 1KG - AMANDES NATURELLES TRANCHÉES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">24</td>","135","YUPIK 1KG - NATURAL ALMONDS POWDER","YUPIK 1KG - AMANDES EN POUDRE NATURELLES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">25</td>","136","YUPIK 1KG - DRY ROASTED SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES À SEC SALÉES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">26</td>","137","YUPIK 1KG - SOYA ALMONDS","YUPIK 1KG - AMANDES AU SOYA"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">27</td>","138","YUPIK 1KG - ROASTED SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES SALÉES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">28</td>","139","YUPIK 1KG - ROASTED NON SALTED ALMONDS","YUPIK 1KG - AMANDES RÔTIES NON SALÉES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">29</td>","140","YUPIK 1KG - SMOKED ALMONDS","YUPIK 1KG - AMANDES FUMÉES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">30</td>","141","YUPIK 1KG - ORIENTAL BBQ ALMONDS","YUPIK 1KG - AMANDES ORIENTALES BBQ"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">31</td>","142","YUPIK 1KG - ORIENTAL LEMON &amp; SALT ALMONDS","YUPIK 1KG - AMANDES ORIENTALES CITRON &amp; SEL"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">32</td>","143","YUPIK 1KG - ROASTED SEA SALT MARCONA ALMONDS","YUPIK 1KG - AMANDES RÔTIES MARCONA A/SEL DE MER"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">33</td>","149","YUPIK 1KG - RAW ALMONDS","YUPIK 1KG - AMANDES CRUES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">34</td>","150","YUPIK 1KG - RAW SHELLED FILBERTS","YUPIK 1KG - AVELINES ÉCALÉES CRUES"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">35</td>","151","YUPIK 1KG - RAW BLANCHED FILBERTS","YUPIK 1KG - AVELINES MONDÉES (BLANCHIES)"
"<td class=""kv-align-center kv-align-middle"" style=""width:50px;"" data-col-seq=""0"">36</td>","155","YUPIK 1KG - SHELLED BRAZIL NUTS (WHOLE)","YUPIK 1KG - NOIX DU BRÉSIL (ENTIÈRES)"
